Name,Email,Category,Genres,Notes
ScoreKeepers Music,eric@scorekeepersmusic.com,Sync Agency,"Hip-Hop, R&B, Jazz, Pop","Submit at composers.scorekeepersmusic.com. Phone: (323) 544-9204"
Music Gorilla,info@musicgorilla.com,Music Submission Platform,"Hip-Hop, R&B, Jazz, Pop, All","Connects indie artists with labels, TV, film. Phone: 201-796-8742"
Another Planet Music,info@anotherplanetmusic.net,Music Library / Licensing,"Jazz, R&B, Pop, Eclectic","UK-based master licensing catalogue company"
Koze Music Publishing,info@kozemusic.com,Sync Agency / Publisher,"Hip-Hop, Indie, Folk, Pop, R&B","LA/Nashville/Auckland. 1000+ placements across TV/ads/film/games"
Stones Throw Records (Licensing),jack@stonesthrow.com,Record Label / Sync,"Hip-Hop, Jazz, Soul, Lo-Fi","Jack Sills – Publishing Director & Licensing. Home of Madlib/J Dilla catalog"
Rhymesayers Entertainment (Licensing),licensing@rhymesayers.com,Record Label / Sync,"Hip-Hop, Rap, Conscious Hip-Hop","Independent hip-hop label since 1995. License their catalog"
Rhymesayers Entertainment (General),info@rhymesayers.com,Record Label,"Hip-Hop, Rap, Conscious Hip-Hop","Minneapolis-based indie hip-hop institution"
Stef Angel Music Group (Submissions),musicsubmission@stefangelmusic.com,Publisher / A&R,"Hip-Hop/Rap, R&B, Pop, Gospel, All","Accepts unsolicited material. Contact: Stefaniah McGowan"
Stef Angel Music Group (General),info@stefangelmusic.com,Publisher / A&R,"Hip-Hop/Rap, R&B, Pop, Gospel, All","Full-service music production & A&R"
Concord Music Group,submissions@concordmusicgroup.com,Major Publisher / Label,"Jazz, R&B, Hip-Hop, Soul, Pop","Parent of multiple imprints. Accepts unsolicited material"
Kobalt Music,info@kobaltmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Jazz, All","Major indie publisher. LA/NY/Nashville/London offices"
Round Hill Music,info@roundhillmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","Full-service music publishing co. Acquired Zync Music sync division"
Nova Music UK (Publishing & Sync),sophie@novamusic.co.uk,Sync Agency / Publisher,"Neo-Soul, Jazz, Hip-Hop, Indie, Alt","London/West London-based. Urban-jazz, psychedelia, neo-soul focus"
Nova Music UK (Alternate),sophie@novapresents.com,Sync Agency / Publisher,"Neo-Soul, Jazz, Hip-Hop, Indie, Alt","Director/Agency MD for Nova Publishing & Sync"
Malaco Records,demo@malaco.com,Record Label,"R&B, Gospel, Jazz, Blues, Soul","Jackson MS indie label. Accepts R&B/soul/gospel demos"
Delmark Records (Jazz Promo),jazzpromo@delmark.com,Record Label,"Jazz, Blues","Chicago jazz label. 70+ years of jazz history"
Delmark Records (General),delmark@delmark.com,Record Label,"Jazz, Blues","General contact for Delmark Records Chicago"
Mack Avenue Records,info@mackavenue.com,Record Label / Sync,"Jazz","Grosse Pointe Farms MI. Premier jazz record label"
Posi-Tone Records,info@posi-tone.com,Record Label,"Jazz","LA-based jazz label. 85+ title catalog of top jazz musicians"
Verve Music Group,contact@vervemusicgroup.com,Record Label / Publisher,"Jazz, Adult Contemporary, R&B","UMG jazz imprint with legendary catalog"
Rexius Records,info@rexiusrecords.com,Record Label,"Hip-Hop, Rock, Pop","Sweden-based indie-major. Accepts worldwide submissions free. Link only"
Red Entertainment,info@redentertainment.com,Management / Label,"Rock, Funk, Jazz, Gospel, R&B, Pop, Latin, Hip-Hop","NY-based. Note: no unsolicited material"
Crush Music,info@crushmusic.com,Management / Label,"Rock, Pop, Indie, Hip-Hop","NY-based. Note: no unsolicited material"
Countdown Entertainment,brenda@countdownentertainment.com,Management / Promotion,"Urban, Hip-Hop, Pop, Rock, Country","NY-based. Accepts unsolicited material – see site for submission details"
Pyramid Entertainment,smichaels@pyramid-ent.com,Booking / Management,"Urban, Jazz, Gospel, R&B, Funk, Hip-Hop","NY-based. Contact: Sal Michaels. Note: no unsolicited material"
Def Ro Inc.,defroinc@msn.com,Label / Management,"R&B, Hip-Hop, Pop","Bloomfield NJ. Contact: Ro Smith"
Deep South Entertainment,info@deepsouthentertainment.com,Label / Management,"R&B, Hip-Hop, Pop, Country","Raleigh NC. Phone: 919-844-1515"
The REGIME,info@regimeinc.com,Management,"Hip-Hop, Latin Jazz, Funk, Reggae","Malibu CA. Roster includes Everlast, Dilated Peoples, DJ Muggs"
RX Music,sales@rxmusic.com,Background Music / Licensing,"Hip-Hop, Jazz, R&B, Pop, All","Business/background music service for hotels, retail, restaurants. 22 yrs"
I Am Hip-Hop Magazine,info@iamhiphopmagazine.com,Music Blog / Press,"Hip-Hop, Rap, Urban","2M visitors/yr. Send links + bio + hi-res image. £30 for album/EP reviews"
